N,Parameter1,Parameter2,EmpricalParameter1,EmpricalParameter2,EmpricalParameter3,EmpricalParameter4,SelsectEmpricalParameter1,SelsectEmpricalParameter2,SelsectEmpricalParameter3,SelsectEmpricalParameter4,EliteX1,EliteX2,EliteCost
0,0.5,0.5,0.2,0.3,0.1,0.4,0.0,0.0,0.0,1.0,1,1,10
1,0.55,0.55,0.6,0.1,0.1,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
2,0.5616666666666668,0.5616666666666668,0.4,0.2,0.3,0.1,0.6666666666666666,0.0,0.0,0.3333333333333333,1,1,10
3,0.5388333333333334,0.5388333333333334,0.2,0.3,0.3,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
4,0.5516166666666668,0.5516166666666668,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,1,1,10
5,0.5964550000000001,0.5964550000000001,0.0,0.4,0.2,0.4,0.0,0.0,0.0,1.0,1,1,10
6,0.6368095,0.6368095,0.1,0.3,0.1,0.5,0.0,0.0,0.0,1.0,1,1,10
7,0.67312855,0.67312855,0.1,0.1,0.4,0.4,0.0,0.0,0.0,1.0,1,1,10
8,0.7058156950000001,0.7058156950000001,0.0,0.2,0.3,0.5,0.0,0.0,0.0,1.0,1,1,10
9,0.7352341255000001,0.7352341255000001,0.1,0.2,0.2,0.5,0.0,0.0,0.0,1.0,1,1,10
10,0.7617107129500001,0.7617107129500001,0.0,0.0,0.4,0.6,0.0,0.0,0.0,1.0,1,1,10
