N,Parameter1,Parameter2,EmpricalParameter1,EmpricalParameter2,EmpricalParameter3,EmpricalParameter4,SelsectEmpricalParameter1,SelsectEmpricalParameter2,SelsectEmpricalParameter3,SelsectEmpricalParameter4,EliteX1,EliteX2,EliteCost
0,0.5,0.5,0.4,0.1,0.3,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
1,0.5166666666666666,0.5166666666666666,0.1,0.5,0.2,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
2,0.5316666666666666,0.5316666666666666,0.2,0.4,0.1,0.3,0.0,0.0,0.0,1.0,1,1,10
3,0.5785,0.5785,0.2,0.5,0.1,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
4,0.5873166666666667,0.5873166666666667,0.3,0.1,0.2,0.4,0.0,0.0,0.0,1.0,1,1,10
5,0.6285850000000001,0.6285850000000001,0.1,0.3,0.1,0.5,0.0,0.0,0.0,1.0,1,1,10
6,0.6657265000000001,0.6657265000000001,0.0,0.3,0.3,0.4,0.0,0.0,0.0,1.0,1,1,10
7,0.6991538500000001,0.6991538500000001,0.1,0.0,0.4,0.5,0.0,0.0,0.0,1.0,1,1,10
8,0.7292384650000001,0.7292384650000001,0.0,0.1,0.2,0.7,0.0,0.0,0.0,1.0,1,1,10
9,0.7563146185000001,0.7563146185000001,0.0,0.1,0.2,0.7,0.0,0.0,0.0,1.0,1,1,10
10,0.7806831566500001,0.7806831566500001,0.0,0.0,0.4,0.6,0.0,0.0,0.0,1.0,1,1,10
