N,Parameter1,Parameter2,EmpricalParameter1,EmpricalParameter2,EmpricalParameter3,EmpricalParameter4,SelsectEmpricalParameter1,SelsectEmpricalParameter2,SelsectEmpricalParameter3,SelsectEmpricalParameter4,EliteX1,EliteX2,EliteCost
0,0.5,0.5,0.2,0.3,0.1,0.4,0.0,0.0,0.0,1.0,1,1,10
1,0.55,0.55,0.4,0.2,0.1,0.3,0.0,0.0,0.0,1.0,1,1,10
2,0.5950000000000001,0.5950000000000001,0.2,0.1,0.1,0.6,0.0,0.0,0.0,1.0,1,1,10
3,0.6355000000000001,0.6355000000000001,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,1,1,10
4,0.67195,0.67195,0.0,0.1,0.3,0.6,0.0,0.0,0.0,1.0,1,1,10
5,0.704755,0.704755,0.1,0.2,0.3,0.4,0.0,0.0,0.0,1.0,1,1,10
6,0.7342795,0.7342795,0.1,0.2,0.4,0.3,0.0,0.0,0.0,1.0,1,1,10
7,0.7608515499999999,0.7608515499999999,0.0,0.0,0.3,0.7,0.0,0.0,0.0,1.0,1,1,10
8,0.7847663949999999,0.7847663949999999,0.1,0.1,0.4,0.4,0.0,0.0,0.0,1.0,1,1,10
9,0.8062897554999999,0.8062897554999999,0.0,0.1,0.3,0.6,0.0,0.0,0.0,1.0,1,1,10
10,0.82566077995,0.82566077995,0.1,0.1,0.1,0.7,0.0,0.0,0.0,1.0,1,1,10
