N,Parameter1,Parameter2,EmpricalParameter1,EmpricalParameter2,EmpricalParameter3,EmpricalParameter4,SelsectEmpricalParameter1,SelsectEmpricalParameter2,SelsectEmpricalParameter3,SelsectEmpricalParameter4,EliteX1,EliteX2,EliteCost
0,0.5,0.5,0.2,0.2,0.5,0.1,0.6666666666666666,0.0,0.0,0.3333333333333333,1,1,10
1,0.48333333333333334,0.48333333333333334,0.3,0.2,0.3,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
2,0.5016666666666667,0.5016666666666667,0.4,0.2,0.2,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
3,0.5181666666666667,0.5181666666666667,0.2,0.7,0.1,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1,1,10
4,0.46635,0.4996833333333333,0.2,0.2,0.5,0.1,0.6666666666666666,0.0,0.0,0.3333333333333333,1,1,10
5,0.45304833333333333,0.4830483333333333,0.3,0.1,0.5,0.1,0.6666666666666666,0.0,0.0,0.3333333333333333,1,1,10
6,0.4410768333333333,0.4680768333333333,0.4,0.2,0.4,0.0,1.0,0.0,0.0,0.0,1,1,10
7,0.39696915,0.4212691499999999,0.5,0.1,0.2,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
8,0.42393890166666665,0.4458089016666666,0.3,0.1,0.2,0.4,0.0,0.0,0.0,1.0,1,1,10
9,0.4815450115,0.5012280115,0.3,0.0,0.4,0.3,0.0,0.0,0.0,1.0,1,1,10
10,0.5333905103500001,0.5511052103499999,0.3,0.2,0.3,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
