N,Parameter1,Parameter2,EmpricalParameter1,EmpricalParameter2,EmpricalParameter3,EmpricalParameter4,SelsectEmpricalParameter1,SelsectEmpricalParameter2,SelsectEmpricalParameter3,SelsectEmpricalParameter4,EliteX1,EliteX2,EliteCost
0,0.5,0.5,0.4,0.2,0.3,0.1,0.6666666666666666,0.0,0.0,0.3333333333333333,1,1,10
1,0.48333333333333334,0.48333333333333334,0.1,0.6,0.1,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
2,0.5016666666666667,0.5016666666666667,0.1,0.2,0.6,0.1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1,1,10
3,0.48483333333333334,0.5181666666666667,0.3,0.3,0.2,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
4,0.5030166666666667,0.5330166666666667,0.2,0.4,0.1,0.3,0.0,0.0,0.0,1.0,1,1,10
5,0.552715,0.579715,0.1,0.4,0.1,0.4,0.0,0.0,0.0,1.0,1,1,10
6,0.5974435,0.6217435,0.2,0.1,0.2,0.5,0.0,0.0,0.0,1.0,1,1,10
7,0.63769915,0.65956915,0.0,0.3,0.2,0.5,0.0,0.0,0.0,1.0,1,1,10
8,0.673929235,0.693612235,0.0,0.2,0.1,0.7,0.0,0.0,0.0,1.0,1,1,10
9,0.7065363115000001,0.7242510115,0.0,0.1,0.3,0.6,0.0,0.0,0.0,1.0,1,1,10
10,0.73588268035,0.75182591035,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1,1,10
