N,Parameter1,Parameter2,EmpricalParameter1,EmpricalParameter2,EmpricalParameter3,EmpricalParameter4,SelsectEmpricalParameter1,SelsectEmpricalParameter2,SelsectEmpricalParameter3,SelsectEmpricalParameter4,EliteX1,EliteX2,EliteCost
0,0.5,0.5,0.2,0.3,0.1,0.4,0.0,0.0,0.0,1.0,1,1,10
1,0.55,0.55,0.1,0.5,0.1,0.3,0.0,0.0,0.0,1.0,1,1,10
2,0.5950000000000001,0.5950000000000001,0.1,0.2,0.6,0.1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1,1,10
3,0.5688333333333334,0.6021666666666667,0.0,0.3,0.3,0.4,0.0,0.0,0.0,1.0,1,1,10
4,0.6119500000000001,0.64195,0.4,0.3,0.1,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
5,0.6174216666666668,0.6444216666666667,0.2,0.4,0.1,0.3,0.0,0.0,0.0,1.0,1,1,10
6,0.6556795000000001,0.6799795,0.0,0.3,0.2,0.5,0.0,0.0,0.0,1.0,1,1,10
7,0.6901115500000001,0.71198155,0.0,0.2,0.5,0.3,0.0,0.0,0.0,1.0,1,1,10
8,0.7211003950000001,0.740783395,0.2,0.2,0.1,0.5,0.0,0.0,0.0,1.0,1,1,10
9,0.7489903555000001,0.7667050555,0.1,0.2,0.2,0.5,0.0,0.0,0.0,1.0,1,1,10
10,0.7740913199500001,0.79003454995,0.0,0.2,0.1,0.7,0.0,0.0,0.0,1.0,1,1,10
