N,Parameter1,Parameter2,EmpricalParameter1,EmpricalParameter2,EmpricalParameter3,EmpricalParameter4,SelsectEmpricalParameter1,SelsectEmpricalParameter2,SelsectEmpricalParameter3,SelsectEmpricalParameter4,EliteX1,EliteX2,EliteCost
0,0.5,0.5,0.2,0.2,0.0,0.6,0.0,0.0,0.0,1.0,1,1,10
1,0.55,0.55,0.2,0.4,0.2,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,1,1,10
2,0.5616666666666668,0.5616666666666668,0.3,0.2,0.0,0.5,0.0,0.0,0.0,1.0,1,1,10
3,0.6055,0.6055,0.2,0.1,0.4,0.3,0.0,0.0,0.0,1.0,1,1,10
4,0.64495,0.64495,0.1,0.4,0.1,0.4,0.0,0.0,0.0,1.0,1,1,10
5,0.680455,0.680455,0.0,0.3,0.2,0.5,0.0,0.0,0.0,1.0,1,1,10
6,0.7124095,0.7124095,0.0,0.0,0.3,0.7,0.0,0.0,0.0,1.0,1,1,10
7,0.74116855,0.74116855,0.0,0.1,0.1,0.8,0.0,0.0,0.0,1.0,1,1,10
8,0.767051695,0.767051695,0.0,0.1,0.5,0.4,0.0,0.0,0.0,1.0,1,1,10
9,0.7903465255000001,0.7903465255000001,0.1,0.0,0.0,0.9,0.0,0.0,0.0,1.0,1,1,10
10,0.8113118729500001,0.8113118729500001,0.0,0.3,0.2,0.5,0.0,0.0,0.0,1.0,1,1,10
